Id,UTC,UTCMilliseconds,PCLocalTime,PCTime,UpdateOf,Sensor_0_Raw,Sensor_0_Depth
167,2017-09-29 09:53:14.683,683,2017-09-29 09:53:14.683,2017-09-29 09:53:14.684,0,2.498779296875,0.00946044921875
168,2017-09-29 09:53:24.683,683,2017-09-29 09:53:24.683,2017-09-29 09:53:24.684,0,2.498779296875,0.00946044921875
169,2017-09-29 09:53:34.684,684,2017-09-29 09:53:34.684,2017-09-29 09:53:34.685,0,2.498779296875,0.00946044921875
170,2017-09-29 09:53:36.723,723,2017-09-29 09:53:36.723,2017-09-29 09:53:36.724,0,2.498779296875,221.47727783203126
171,2017-09-29 09:53:46.715,715,2017-09-29 09:53:46.715,2017-09-29 09:53:46.716,0,2.498779296875,221.47727783203126
172,2017-09-29 09:53:56.716,716,2017-09-29 09:53:56.716,2017-09-29 09:53:56.717,0,2.498779296875,221.47727783203126
173,2017-09-29 09:54:06.716,716,2017-09-29 09:54:06.716,2017-09-29 09:54:06.717,0,2.498779296875,221.47727783203126
174,2017-09-29 09:54:13.733,733,2017-09-29 09:54:13.733,2017-09-29 09:54:13.734,0,2.498779296875,-1.9905395507812464
175,2017-09-29 09:54:23.733,733,2017-09-29 09:54:23.733,2017-09-29 09:54:23.734,0,2.498779296875,-1.9905395507812464
176,2017-09-29 09:54:30.549,549,2017-09-29 09:54:30.549,2017-09-29 09:54:30.550,0,2.498779296875,0.00946044921875
177,2017-09-29 09:54:40.549,549,2017-09-29 09:54:40.549,2017-09-29 09:54:40.550,0,2.498779296875,0.00946044921875
178,2017-09-29 09:54:50.550,550,2017-09-29 09:54:50.550,2017-09-29 09:54:50.551,0,2.498779296875,0.00946044921875
179,2017-09-29 09:55:00.550,550,2017-09-29 09:55:00.550,2017-09-29 09:55:00.552,0,2.498779296875,0.00946044921875
180,2017-09-29 09:55:10.550,550,2017-09-29 09:55:10.550,2017-09-29 09:55:10.551,0,2.498779296875,0.00946044921875
181,2017-09-29 10:14:58.306,306,2017-09-29 10:14:58.306,2017-09-29 10:14:58.313,0,2.498779296875,0.00946044921875
182,2017-09-29 10:15:06.203,203,2017-09-29 10:15:06.203,2017-09-29 10:15:06.205,0,2.498779296875,0.00946044921875
183,2017-09-29 10:15:16.203,203,2017-09-29 10:15:16.203,2017-09-29 10:15:16.204,0,2.498779296875,0.00946044921875
184,2017-09-29 10:15:26.203,203,2017-09-29 10:15:26.203,2017-09-29 10:15:26.206,0,2.498779296875,0.00946044921875
185,2017-09-29 10:15:36.203,203,2017-09-29 10:15:36.203,2017-09-29 10:15:36.204,0,2.498779296875,0.00946044921875
186,2017-09-29 10:17:02.630,630,2017-09-29 10:17:02.630,2017-09-29 10:17:02.644,0,2.498779296875,0.00946044921875
187,2017-09-29 10:17:10.574,574,2017-09-29 10:17:10.574,2017-09-29 10:17:10.576,0,2.498779296875,0.00946044921875
188,2017-09-29 10:17:20.574,574,2017-09-29 10:17:20.574,2017-09-29 10:17:20.575,0,2.498779296875,0.00946044921875
189,2017-09-29 10:17:30.575,575,2017-09-29 10:17:30.575,2017-09-29 10:17:30.577,0,2.498779296875,0.00946044921875
190,2017-09-29 10:17:40.575,575,2017-09-29 10:17:40.575,2017-09-29 10:17:40.577,0,2.498779296875,0.00946044921875
191,2017-09-29 10:17:50.575,575,2017-09-29 10:17:50.575,2017-09-29 10:17:50.577,0,2.498779296875,0.00946044921875
192,2017-09-29 10:18:00.575,575,2017-09-29 10:18:00.575,2017-09-29 10:18:00.577,0,2.498779296875,0.00946044921875
193,2017-09-29 10:18:10.576,576,2017-09-29 10:18:10.576,2017-09-29 10:18:10.578,0,2.498779296875,0.00946044921875
194,2017-09-29 10:18:20.576,576,2017-09-29 10:18:20.576,2017-09-29 10:18:20.577,0,2.498779296875,0.00946044921875
195,2017-09-29 10:18:30.577,577,2017-09-29 10:18:30.577,2017-09-29 10:18:30.578,0,2.498779296875,0.00946044921875
196,2017-09-29 10:18:40.585,585,2017-09-29 10:18:40.585,2017-09-29 10:18:40.586,0,2.498779296875,0.00946044921875
197,2017-09-29 10:18:50.585,585,2017-09-29 10:18:50.585,2017-09-29 10:18:50.587,0,2.498779296875,0.00946044921875
198,2017-09-29 10:19:00.585,585,2017-09-29 10:19:00.585,2017-09-29 10:19:00.586,0,2.498779296875,0.00946044921875
199,2017-09-29 10:19:10.586,586,2017-09-29 10:19:10.586,2017-09-29 10:19:10.587,0,2.498779296875,0.00946044921875
200,2017-09-29 10:19:20.586,586,2017-09-29 10:19:20.586,2017-09-29 10:19:20.587,0,2.498779296875,0.00946044921875
201,2017-09-29 10:19:30.586,586,2017-09-29 10:19:30.586,2017-09-29 10:19:30.587,0,2.498779296875,0.00946044921875
202,2017-09-29 10:19:40.587,587,2017-09-29 10:19:40.587,2017-09-29 10:19:40.588,0,2.498779296875,0.00946044921875
203,2017-09-29 10:19:50.587,587,2017-09-29 10:19:50.587,2017-09-29 10:19:50.588,0,2.498779296875,0.00946044921875
204,2017-09-29 10:20:00.587,587,2017-09-29 10:20:00.587,2017-09-29 10:20:00.588,0,2.498779296875,0.00946044921875
205,2017-09-29 10:20:10.587,587,2017-09-29 10:20:10.587,2017-09-29 10:20:10.588,0,2.498779296875,0.00946044921875
206,2017-09-29 10:20:20.588,588,2017-09-29 10:20:20.588,2017-09-29 10:20:20.589,0,2.498779296875,0.00946044921875
