Id,UTC,UTCMilliseconds,PCLocalTime,PCTime,GpsDate,GPSTime,Latitude,Longitude,Speed,SpeedType,Heading,HeadingType,TrueHeading,MagneticHeading,MagneticVariation,GPSError,DataStatus
2069,2017-11-08 11:42:35.829,829,2017-11-08 11:42:35.829,2017-11-08 11:42:35.831,2017-11-08 11:41:37.000,114137000,50.342269999999999,-4.1315900000000001,3.966659295949083,N ,176.67952594452407,T ,,,-1.7331052571559842,0,A  
2070,2017-11-08 11:42:46.827,827,2017-11-08 11:42:46.827,2017-11-08 11:42:46.829,2017-11-08 11:41:48.000,114148000,50.342058333333334,-4.1315783333333336,4.3261052265742173,N ,176.95567455406177,T ,,,-1.7330719887620334,0,A  
2071,2017-11-08 11:42:56.830,830,2017-11-08 11:42:56.830,2017-11-08 11:42:56.831,2017-11-08 11:41:58.000,114158000,50.341856666666665,-4.1315683333333331,4.6800000004623143,N ,180,T ,,,-1.7330406965058995,0,A  
2072,2017-11-08 11:43:07.827,827,2017-11-08 11:43:07.827,2017-11-08 11:43:07.828,2017-11-08 11:42:09.000,114209000,50.341633333333334,-4.1315766666666667,4.3261053357624437,N ,183.0443526367394,T ,,,-1.733013032045096,0,A  
2073,2017-11-08 11:43:17.830,830,2017-11-08 11:43:17.830,2017-11-08 11:43:17.831,2017-11-08 11:42:19.000,114219000,50.341431666666665,-4.1316050000000004,4.3443700696073133,N ,186.07163752537008,T ,,,-1.7329955448335363,0,A  
2074,2017-11-08 11:43:28.831,831,2017-11-08 11:43:28.831,2017-11-08 11:43:28.832,2017-11-08 11:42:30.000,114230000,50.341209999999997,-4.1316166666666669,4.3261054460424084,N ,176.95562028356937,T ,,,-1.7329693099825918,0,A  
2075,2017-11-08 11:43:39.830,830,2017-11-08 11:43:39.830,2017-11-08 11:43:39.831,2017-11-08 11:42:41.000,114241000,50.340988333333335,-4.1316216666666667,4.3443705232599719,N ,186.07169377298266,T ,,,-1.7329406748483387,0,A  
2076,2017-11-08 11:43:49.831,831,2017-11-08 11:43:49.831,2017-11-08 11:43:49.833,2017-11-08 11:42:51.000,114251000,50.340788333333336,-4.1316483333333336,4.3746432197724463,N ,189.06541210493981,T ,,,-1.7329228169120845,0,A  
2077,2017-11-08 11:44:00.832,832,2017-11-08 11:44:00.832,2017-11-08 11:44:00.833,2017-11-08 11:43:02.000,114302000,50.340571666666669,-4.1316933333333337,4.3746437151694568,N ,189.065452770062,T ,,,-1.7329092720085182,0,A  
2078,2017-11-08 11:44:10.834,834,2017-11-08 11:44:10.834,2017-11-08 11:44:10.836,2017-11-08 11:43:12.000,114312000,50.34037,-4.1317283333333332,4.3443711559752289,N ,186.07177222137233,T ,,,-1.7328941870560433,0,A  
2079,2017-11-08 11:44:21.828,828,2017-11-08 11:44:21.828,2017-11-08 11:44:21.829,2017-11-08 11:43:23.000,114323000,50.340151666666664,-4.131756666666667,4.3443713809310953,N ,186.07179992133615,T ,,,-1.7328744126276625,0,A  
2080,2017-11-08 11:44:31.829,829,2017-11-08 11:44:31.829,2017-11-08 11:44:31.830,2017-11-08 11:43:33.000,114333000,50.339951666666664,-4.1317899999999996,4.5346312037760699,N ,197.69869001638546,T ,,,-1.7328589565245556,0,A  
2081,2017-11-08 11:44:41.831,831,2017-11-08 11:44:41.831,2017-11-08 11:44:41.833,2017-11-08 11:43:43.000,114343000,50.339745000000001,-4.1318166666666665,4.7025063844955373,N ,174.39211420497435,T ,,,-1.7328401863267289,0,A  
2082,2017-11-08 11:44:52.832,832,2017-11-08 11:44:52.832,2017-11-08 11:44:52.834,2017-11-08 11:43:54.000,114354000,50.33952166666667,-4.1317750000000002,4.3746461159295036,N ,170.93435016401969,T ,,,-1.7327945210101148,0,A  
